Building Name,Address,URL,Type,Completion,Title,No. of Floors,Passenger Lift,Cargo Lift,Car Park,Loading Area,Cargo,Management Fee (Approx. per sq. ft.),Ceiling Height(Approx.),Floor Remark,Air Conditioning,Transport,Management Company,Air Conditioning Opening Times,Total Area,Grade,Raised Floor
Hung Tai Ind Bldg,37-39 Hung To Road,https://www.midlandici.com.hk/ics/property/building/details/B000007107/Hung-Tai-Ind-Bldg?lang=english,Industrial,1990,Spin-Off,14,1,4,,,,"@1.3
            (Information: Year 2020)","Floor 6-10 - 9 ft, 11 in
Floor 1-5 - 9 ft, 11 in
Floor B - 18 ft, 8 in
Floor G - 13 ft, 7 in",Not including Basement Floor and Ground Floor,Independent,Close to Ngau Tau Kok MTR Station and Kwun Tong MTR Station and Bus,,,,,
Hung Tat Ind Bldg,43 Hung To Road,https://www.midlandici.com.hk/ics/property/building/details/B000007108/Hung-Tat-Ind-Bldg?lang=english,Industrial,1989,Spin-Off,14,1,2,,,,"@1.4
            (Information: Year 2022)","Floor 9-13 - 9 ft, 11 in
Floor 5-8 - 9 ft, 11 in
Floor 1-4 - 9 ft, 11 in
Floor G - 15 ft, 7 in",Not including Ground Floor,,Close to Ngau Tau Kok MTR Station and Kwun Tong MTR Station and Bus,,,,,
Hung To Ind Bldg,80 Hung To Road,https://www.midlandici.com.hk/ics/property/building/details/B000020210/Hung-To-Ind-Bldg?lang=english,Industrial,1983,Spin-Off,14,1,2,,,,"@0.78
            (Information: Year 2020)","Floor 11-14 - 10 ft, 0 in
Floor 6-10 - 10 ft, 0 in
Floor G - 15 ft, 8 in
Floor 1-5 - 10 ft, 0 in",Not including Ground Floor,Independent,Close to MTR Station,,,,,
International Ind Bldg,175 Hoi Bun Road,https://www.midlandici.com.hk/ics/property/building/details/B000059655/International-Ind-Bldg?lang=english,Industrial,1968,Spin-Off,12,1,1,,,,,,Not including Ground Floor,,,,,,,
International Plaza,20 Sheung Yuet Road,https://www.midlandici.com.hk/ics/property/building/details/B000007520/International-Plaza?lang=english,Industrial,1986,Spin-Off,11,2,4,,,,"@1.2
            (Information: Year 2020)","Floor 11 - 19 ft, 3 in
Floor 8-10 - 9 ft, 7 in
Floor 4-7 - 9 ft, 7 in
Floor G - 15 ft, 4 in
Floor 1 - 9 ft, 7 in
Floor 2-3 - 9 ft, 7 in",Not including Basement and Ground Floor,Independent,Close to Kowloon Bay MTR Station,其士富居物業管理有限公司,,,,
Jc Tower,91 Wai Yip Street,https://www.midlandici.com.hk/ics/property/building/details/B000059714/Jc-Tower?lang=english,Industrial,1975,Unified,10,,,,,,,,Not including Ground Floor,,,,,,,
Jing Hin Ind Bldg,5 Wang Kee Street,https://www.midlandici.com.hk/ics/property/building/details/B000020309/Jing-Hin-Ind-Bldg?lang=english,Industrial,1986,Spin-Off,5,1,3,,,,"@0.75
            (Information: Year 2021)",Basement: 10ft 6in,Not including Basement and Ground Floor,,,,,,,
Joint Venture Fty Bldg,76 Hung To Road,https://www.midlandici.com.hk/ics/property/building/details/B000020316/Joint-Venture-Fty-Bldg?lang=english,Industrial,1981,Spin-Off,14,,2,,,,"@1.02
            (Information: Year 2020)",,Not including Ground Floor,Independent,,,,,,
Jumbo Ind Bldg,189 Wai Yip Street,https://www.midlandici.com.hk/ics/property/building/details/B000020345/Jumbo-Ind-Bldg?lang=english,Industrial,1970,Spin-Off,12,,3,,,,"@0.6
            (Information: Year 2021)",,Not including Ground Floor,,,,,,,
Kader Bldg,22 Kai Cheung Road,https://www.midlandici.com.hk/ics/property/building/details/B000020398/Kader-Bldg?lang=english,Industrial,1985,Spin-Off,12,2,6,,,,"@1.04
            (Information: Year 2023)","Ground Floor : 11ft 3in
1st Floor：9ft 10in
2nd Floor to 3rd Floor: 11ft 2in
4th Floor: 9ft 5in
5th Floor to 9th Floor : 9ft 10in
10th Floor to 11st Floor: 9ft 9in
12th Floor: 9ft 5in",Not including Ground Floor,Water Cooling,,,,"Approx. 458,000 sq.ft.",,
Kai Fuk Ind Ctr,1 Wang Tung Street,https://www.midlandici.com.hk/ics/property/building/details/B000007521/Kai-Fuk-Ind-Ctr?lang=english,Industrial,1987,Spin-Off,7,2,4,,,,"@1.1
            (Information: Year 2020)",,Not including Basement  and Ground Floor,---,,,Monday To Friday  - Saturday  - Sunday  -,,,
Kam Hon Ind Bldg,8 Wang Kwun Road,https://www.midlandici.com.hk/ics/property/building/details/B000020484/Kam-Hon-Ind-Bldg?lang=english,Industrial,1983,Spin-Off,10,,6,,,,"@0.6
            (Information: Year 2020)",,Not including Basement and Ground Floor,,,,,,,
Kam Mei Lan Ind Bldg,Hoi Yuen Road,https://www.midlandici.com.hk/ics/property/building/details/B000018064/Kam-Mei-Lan-Ind-Bldg?lang=english,Industrial,1998,Spin-Off,29,,,,,,,Ground Floor: 16ft,"Not including Ground Floor 
            
              * 4/F, 13/F, 14/F, 24/F Omitted",Central,,,,,,
Kenning Ind Bldg,19 Wang Hoi Road,https://www.midlandici.com.hk/ics/property/building/details/B000020624/Kenning-Ind-Bldg?lang=english,Industrial,1985,Spin-Off,13,1,4,,,,"@1.3
            (Information: Year 2021)",,Not including Basement and Ground Floor,,Close to Kowloon Bay MTR Station,,,,,
Kinetic Ind Ctr,7 Wang Kwong Road,https://www.midlandici.com.hk/ics/property/building/details/B000020704/Kinetic-Ind-Ctr?lang=english,Industrial,1987,Spin-Off,7,5,,,,,"@1.37
            (Information: Year 2020)",,Not including Ground Floor,,,,,,,
King Yip Fty Bldg,59 King Yip Street,https://www.midlandici.com.hk/ics/property/building/details/B000007504/King-Yip-Fty-Bldg?lang=english,Industrial,1976,Spin-Off,13,1,3,,,,"@0.76
            (Information: Year 2020)",,Not including Ground Floor,,,,,,,
Kingsford Ind Ctr,13 Wang Hoi Road,https://www.midlandici.com.hk/ics/property/building/details/B000020772/Kingsford-Ind-Ctr?lang=english,Industrial,1985,Spin-Off,12,1,3,,,,"@1.28
            (Information: Year 2020)",,Not including Ground Floor,,,,,,,
Ko Leung Ind Bldg,25 Tai Yip Street,https://www.midlandici.com.hk/ics/property/building/details/B000020818/Ko-Leung-Ind-Bldg?lang=english,Industrial,1969,Spin-Off,8,,1,,,,"@0.42
            (Information: Year 2022)",,Not including Ground Floor,,,,,,,
Kowloon Bay Ind Ctr,15 Wang Hoi Road,https://www.midlandici.com.hk/ics/property/building/details/B000007522/Kowloon-Bay-Ind-Ctr?lang=english,Industrial,1985,Spin-Off,10,,6,,,,"@1
            (Information: Year 2020)","Floor 6-10 - 14 ft, 9 in
Floor G - 24 ft, 7 in
Floor 3-5 - 14 ft, 9 in",Not including Basement and Ground Floor,,Close to Kowloon Bay MTR Station,,,,,
Kras Asia Ind Bldg,79 Hung To Road,https://www.midlandici.com.hk/ics/property/building/details/B000020879/Kras-Asia-Ind-Bldg?lang=english,Industrial,1974,Spin-Off,11,1,1,,,,"@1
            (Information: Year 2020)",,Not including Ground Floor,,Close to Kwun Tong MTR Station,,,,,
Kwong Sang Hong Ctr,151-153 Hoi Bun Road,https://www.midlandici.com.hk/ics/property/building/details/B000007103/Kwong-Sang-Hong-Ctr?lang=english,Industrial,1990,Spin-Off,18,3,8,,,,"@1.3
            (Information: Year 2021)","Floor 14-20 - 10 ft, 8 in
Floor 7-13 - 10 ft, 8 in
Floor 1-6 - 10 ft, 8 in
Floor G - 15 ft, 2 in",Not including Ground Floor,Independent,"Close to Ngau Tau Kok MTR station, Ferry Pier, Bus and Minibus",,,,,
Kwun Tong Ind Ctr Blk 1,472-484 Kwun Tong Road,https://www.midlandici.com.hk/ics/property/building/details/B000007779/Kwun-Tong-Ind-Ctr-Blk-1?lang=english,Industrial,1977,Spin-Off,13,,,,,,"@0.6
            (Information: Year 2020)","Floor 10-13 - 10 ft, 6 in
Floor 5-9 - 10 ft, 6 in
Floor 1-4 - 10 ft, 9 in
Floor B - 11 ft, 0 in
Floor G - 16 ft, 0 in",Not including Basement and Ground Floor,,Close to MTR Station,,,,,
Kwun Tong Ind Ctr Blk 2,460-470 Kwun Tong Road,https://www.midlandici.com.hk/ics/property/building/details/B000007780/Kwun-Tong-Ind-Ctr-Blk-2?lang=english,Industrial,1978,Spin-Off,13,,,,,,"@0.6
            (Information: Year 2020)",,Not including Basement and Ground Floor,,Close to MTR Station,,,,,
Kwun Tong Ind Ctr Blk 3,448-458 Kwun Tong Road,https://www.midlandici.com.hk/ics/property/building/details/B000007781/Kwun-Tong-Ind-Ctr-Blk-3?lang=english,Industrial,1979,Spin-Off,13,,,,,,"@0.6
            (Information: Year 2020)",,Not including Basement and Ground Floor,---,Close to MTR Station,,,,,
Kwun Tong Ind Ctr Blk 4,436-446 Kwun Tong Road,https://www.midlandici.com.hk/ics/property/building/details/B000007782/Kwun-Tong-Ind-Ctr-Blk-4?lang=english,Industrial,1979,Spin-Off,13,,,,,,"@0.6
            (Information: Year 2021)",,Not including Basement and Ground Floor,,Close to MTR Station,,,,,
Lemmi Ctr,50 Hoi Yuen Road,https://www.midlandici.com.hk/ics/property/building/details/B000007805/Lemmi-Ctr?lang=english,Industrial,1996,Spin-Off,20,2,2,,,,"@1.63
            (Information: Year 2020)","Floor 16-22 - 10 ft, 10 in
Floor 8-15 - 10 ft, 10 in
Floor 1-7 - 10 ft, 10 in
Floor G - 15 ft, 10 in","Not including Ground Floor 
            
               * 4/F and 14/F Omitted",Independent,Close to MTR Station,DTZ,,,,
Lladro Building,72 Hoi Yuen Road,https://www.midlandici.com.hk/ics/property/building/details/B000007094/Lladro-Building?lang=english,Industrial,1985,Spin-Off,14,2,4,,,,"@1
            (Information: Year 2021)",,Not including Basement and Ground Floor,Independent,Close to MTR Station,仲量聯行,,,,
Lok Kui Ind Bldg,6-8 Hung To Road,https://www.midlandici.com.hk/ics/property/building/details/B000021376/Lok-Kui-Ind-Bldg?lang=english,Industrial,1978,Spin-Off,11,,2,,,,"@0.5
            (Information: Year 2020)",,Not including Ground Floor and Mezzanine,,Close to Ngau Tau Kok MTR Station,,,,,
Mai Gar Ind Bldg,146 Wai Yip Street,https://www.midlandici.com.hk/ics/property/building/details/B000021597/Mai-Gar-Ind-Bldg?lang=english,Industrial,1971,Spin-Off,12,1,5,,,,"@0.5
            (Information: Year 2021)",,Not including Ground Floor and Roof,Independent,,,,,,
Mai Tak Ind Bldg,221 Wai Yip Street,https://www.midlandici.com.hk/ics/property/building/details/B000021613/Mai-Tak-Ind-Bldg?lang=english,Industrial,1969,Spin-Off,11,1,2,,,,"@1.2
            (Information: Year 2023)",,Not including Ground Floor,,,,,,,
Metro Centre Blk 1,32 Lam Hing Street,https://www.midlandici.com.hk/ics/property/building/details/B000007902/Metro-Centre-Blk-1?lang=english,"Industrial,Office",1991,Spin-Off,17,2,4,,,,"@1.5
            (Information: Year 2023)","Floor 16-20 - 12 ft, 6 in
Floor 8-15 - 12 ft, 6 in
Floor G - 16 ft, 1 in
Floor 2 - 15 ft, 3 in
Floor 3 - 12 ft, 6 in
Floor 1 - 17 ft, 10 in
Floor 5-7 - 12 ft, 6 in","Not including Ground Floor 
            
               * 4/F, 13/F and 14/F Omitted",Independent,"Close to MTR Station, Bus and Minibus",信和物業管理有限公司,,,,
Metro Centre Blk 2,21 Lam Hing Street,https://www.midlandici.com.hk/ics/property/building/details/B000007905/Metro-Centre-Blk-2?lang=english,Godown,1992,Spin-Off,22,4,5,,,,"@1.56
            (Information: Year 2021)","Floor 17-23 - 12 ft, 6 in
Floor 25 - 12 ft, 6 in
Floor 15-16 - 12 ft, 6 in
Floor 10-12 - 17 ft, 1 in
Floor G - 18 ft, 1 in
Floor 6-9 - 17 ft, 1 in
Floor 2 - 17 ft, 1 in
Floor 3-5 - 17 ft, 1 in
Floor 1 - 18 ft, 1 in","Not including Ground Floor 
            
               * 4/F, 13/F, 14/F and 24/F",---,"Close to MTR Station, Pier Terminal and Bus",,,,,
Pacific Trade Ctr,2 Kai Hing Road,https://www.midlandici.com.hk/ics/property/building/details/B000022407/Pacific-Trade-Ctr?lang=english,Industrial,1990,Spin-Off,15,3,10,,,,"@0.92
            (Information: Year 2020)","Floor 13-17 - 10 ft, 9 in
Floor B - 20 ft, 6 in
Floor G - 15 ft, 0 in
Floor 1-6 - 9 ft, 10 in","Not including Basement and Ground Floor 
            
              *   4/F, 13/F and 14/F Omitted",---,"Close to Kowloon Bay MTR Station, Ngau Tau Kok MTR Station and Bus",,,,,
Po Lung Ctr,11 Wang Chiu Road,https://www.midlandici.com.hk/ics/property/building/details/B000007223/Po-Lung-Ctr?lang=english,Industrial,1985,Spin-Off,9,4,6,,,,"@1
            (Information: Year 2020)","Floor 9 - 16 ft, 5 in
Floor 7-8 - 9 ft, 10 in
Floor 2 - 9 ft, 10 in
Floor 3 - 15 ft, 3 in
Floor G - 25 ft, 1 in
Floor 1 - 13 ft, 9 in
Floor 4-5 - 9 ft, 10 in",Not including Ground Floor,Independent,"Close to Kowloon Bay MTR Station, Bus and Minibus",其士富居物業管理有限公司,,,,
Ray Ctr,88 Hung To Road,https://www.midlandici.com.hk/ics/property/building/details/B000007045/Ray-Ctr?lang=english,Industrial,1991,Spin-Off,15,1,2,,,,"@0.95
            (Information: Year 2020)",Ground Floor to Mezz: 16ft 6in,Not including Ground Floor,,,,,,,
Ricky Ctr,36 Chong Yip Street,https://www.midlandici.com.hk/ics/property/building/details/B000007494/Ricky-Ctr?lang=english,Industrial,1995,Spin-Off,21,3,1,,,,"@1.56
            (Information: Year 2021)","Ground Floor: 4.85m (Approx. 15ft 10in)
1st Floor to 22nd Floor: 4m (Approx. 13ft 1 1/2)
23rd Floor: 4.7m (Approx. 15ft 5in)","Not including Ground Floor 
            
               * 4/F and 14/F Omitted",Independent,"Close to Ngau Tau Kok MTR Station, Bus and Minibus",民亮發展有限公司,,,,
Room + Kwun Tong,338 Kwun Tong Road,https://www.midlandici.com.hk/ics/property/building/details/B000023406/Room---Kwun-Tong?lang=english,Industrial,1969,Unified,12,,,,,,"@0.8
            (Information: Year 2020)","Ground Floor: 19'-6""
1st Floor to 3rd Floor: 10'-6""
4th Floor to 12nd Floor: 10'-6""",Not including  Ground Floor,,,,,,,
Seaview Ctr,139 Hoi Bun Road,https://www.midlandici.com.hk/ics/property/building/details/B000007111/Seaview-Ctr?lang=english,Industrial,1991,Spin-Off,18,1,3,,,,"@2.42
            (Information: Year 2023)","Floor 15-21 - 11 ft, 6 in
Floor 7-14 - 9 ft, 10 in
Floor G - 16 ft, 5 in
Floor 1-6 - 9 ft, 10 in","Not including Ground Floor 
            
               * 4/F, 13/F and 14/F Omitted",Independent,"Ngau Tau Kok MTR Station, Kwun Tong Ferry Pier, Bus and Minibus",,,,,
Shing Yip Ind Bldg,19-21 Shing Yip Street,https://www.midlandici.com.hk/ics/property/building/details/B000007495/Shing-Yip-Ind-Bldg?lang=english,Industrial,1986,Spin-Off,14,2,8,,,,"@1
            (Information: Year 2020)","Floor 11-14 - 9 ft, 7 in
Floor 6-10 - 9 ft, 7 in
Floor 1-5 - 9 ft, 7 in
Floor B - 12 ft, 11 in
Floor G - 12 ft, 11 in",Not including Basement and Ground Floor,Independent,"Close to Kwun Tong MTR Station, Kwun Tong Ferry Pier and Bus",寶美城置業有限公司,,,,
Shiu Fat Ind Bldg,139-141 Wai Yip Street,https://www.midlandici.com.hk/ics/property/building/details/B000007508/Shiu-Fat-Ind-Bldg?lang=english,Industrial,1986,Spin-Off,14,1,2,,,,"@1.3
            (Information: Year 2020)","Floor 11-14 - 9 ft, 8 in
Floor 6-10 - 9 ft, 8 in
Floor G - 11 ft, 3 in
Floor 1-5 - 9 ft, 8 in",Not including Ground Floor,Independent,Close to Ngau Tau Kok MTR Station,,,,,
Sino Ind Plaza,9 Kai Cheung Road,https://www.midlandici.com.hk/ics/property/building/details/B000023409/Sino-Ind-Plaza?lang=english,Industrial,1986,Spin-Off,10,6,6,,,,"@0.98
            (Information: Year 2020)",,Not including Basement and Ground Floor,Independent,,,,,,
Southtex Bldg,51 Tsun Yip Street,https://www.midlandici.com.hk/ics/property/building/details/B000059712/Southtex-Bldg?lang=english,Industrial,2000,Unified,22,1,1,,,,"@1.5
            (Information: Year 2020)","Floor 16-22 - 10 ft, 6 in
Floor 8-15 - 10 ft, 6 in
Floor 1-7 - 10 ft, 6 in",Not including Upper part of G/F and Ground Floor,Independent,,,,,,
Speedy Ind Bldg,114 How Ming Street,https://www.midlandici.com.hk/ics/property/building/details/B000023474/Speedy-Ind-Bldg?lang=english,Industrial,1979,Spin-Off,13,,3,,,,"@0.98
            (Information: Year 2022)",,Not including Lower Ground Floor and Upper Ground Floor,,Close to MTR Station,,,,,
Sunbeam Ctr,27 Shing Yip Street,https://www.midlandici.com.hk/ics/property/building/details/B000007095/Sunbeam-Ctr?lang=english,Industrial,1985,Spin-Off,13,6,6,,,,"@1.38
            (Information: Year 2023)",,"Not including Basement, Ground Floor and Mezzanine",Independent,Close to Kwun Tong MTR Station,日泰物業管理有限公司,Monday To Friday  - Saturday  - Sunday  -,,,
Sunshine Kowloon Bay Cargo Centre,59 Tai Yip Street,https://www.midlandici.com.hk/ics/property/building/details/B000023663/Sunshine-Kowloon-Bay-Cargo-Centre?lang=english,Godown,1982,Spin-Off,8,,,,,,"@0.76
            (Information: Year 2022)","Floor 5-8 - 14 ft, 6 in
Floor G - 14 ft, 6 in
Floor B - 14 ft, 6 in
Floor 1-4 - 14 ft, 6 in",Not including Basement and Ground Floor,,"Close to Kowloon Bay MTR Station, Hong Kong's Air Cargo Terminal, Kwun Tong Ferry Pier and Bus",,,,,
The Icon,320-322 Kwun Tong Road,https://www.midlandici.com.hk/ics/property/building/details/B000021791/The-Icon?lang=english,Industrial,1966,Spin-Off,,,2,,,,"@3.5
            (Information: Year 2020)",11ft,,Independent,,,,,,
The Ozone,134 Wai Yip Street,https://www.midlandici.com.hk/ics/property/building/details/B000023542/The-Ozone?lang=english,Industrial,1966,Unified,12,2,,,,,"@2.35
            (Information: Year 2021)","Workshop: 2.74-3.51 m
Ground Floor: 5.18m","Not including Rooftop and Upper Roof 
            
              *4/F is omitted",Split,Close to Ngau Tau Kok Station,Ozone Development Limited,,"Approx. 45,910 sq.ft.",,
Tonic Ind Ctr A,26 Kai Cheung Road,https://www.midlandici.com.hk/ics/property/building/details/B000007862/Tonic-Ind-Ctr-A?lang=english,Industrial,1986,Spin-Off,11,1,6,,,,"@1.3
            (Information: Year 2020)",,Not including Basement and Ground Floor,,Close to MTR Station and Bus,,,,,
Tonic Ind Ctr B,19 Lam Hing Street,https://www.midlandici.com.hk/ics/property/building/details/B000007864/Tonic-Ind-Ctr-B?lang=english,Industrial,1986,Spin-Off,11,,,,,,"@1.3
            (Information: Year 2020)","Floor 1-3 - 9 ft, 68 in",Not including Basement and Ground Floor,,Close to MTR Station and Bus,---,,,,
Treasure Ctr,42 Hung To Road,https://www.midlandici.com.hk/ics/property/building/details/B000007500/Treasure-Ctr?lang=english,Industrial,1995,Spin-Off,25,2,2,,,,"@1.3
            (Information: Year 2021)","Floor 18-25 - 13 ft, 1 in
Floor 9-17 - 13 ft, 1 in
Floor 1-8 - 13 ft, 1 in
Floor G - 15 ft, 10 in",Not including Ground Floor,Independent,"Close to Kwun Tong MTR Station, Bus and Minibus",,,,,
Viet Shing Fty Bldg,145 Wai Yip Street,https://www.midlandici.com.hk/ics/property/building/details/B000024438/Viet-Shing-Fty-Bldg?lang=english,Industrial,1969,Spin-Off,13,,,,,,"@0.5
            (Information: Year 2020)",Ground Floor: 17ft,Not including Ground Floor,,,,,,,
Wah Hung Ctr,41 Hung To Road,https://www.midlandici.com.hk/ics/property/building/details/B000007105/Wah-Hung-Ctr?lang=english,Industrial,1990,Spin-Off,14,1,2,,,,"@1.15
            (Information: Year 2022)","Floor 11-14 - 10 ft, 5 in
Floor 6-10 - 10 ft, 5 in
Floor 1-5 - 10 ft, 5 in
Floor G - 14 ft, 0 in",Not including Ground Floor,"Independent Window
            
              Independent Split","Close to Kwun Tong MTR Station, Ferry Pier, Bus and Minibus",,,,,
Wah Shing Ctr,11-13 Shing Yip Street,https://www.midlandici.com.hk/ics/property/building/details/B000007775/Wah-Shing-Ctr?lang=english,Industrial,1988,Spin-Off,14,,,,,,"@1.09
            (Information: Year 2022)","Floor 11-14 - 9 ft, 10 in
Floor 6-10 - 9 ft, 10 in
Floor 1-5 - 9 ft, 10 in
Floor B - 17 ft, 5 in
Floor G - 16 ft, 2 in",Not including Basement and Ground Floor,Independent,,,,,,
Winful Ctr,30 Shing Yip Street,https://www.midlandici.com.hk/ics/property/building/details/B000007112/Winful-Ctr?lang=english,Industrial,1990,Spin-Off,14,,,,,,"@1.57
            (Information: Year 2022)","Floor 11-14 - 10 ft, 3 in
Floor 6-10 - 10 ft, 3 in
Floor 1-5 - 10 ft, 3 in
Floor B - 14 ft, 9 in
Floor G - 16 ft, 2 in",Not including Basement and Ground Floor,,"Close to MTR Station, Bus and Minibus",,,,,
Winner Fty Bldg,55 Hung To Road,https://www.midlandici.com.hk/ics/property/building/details/B000025072/Winner-Fty-Bldg?lang=english,Industrial,1977,Spin-Off,14,,,,,,"@0.5
            (Information: Year 2020)",,Not including Ground Floor,Independent,,,,,,
World Tech Ctr,95 How Ming Street,https://www.midlandici.com.hk/ics/property/building/details/B000007106/World-Tech-Ctr?lang=english,Industrial,1991,Spin-Off,19,4,6,,,,"@2.23
            (Information: Year 2021)","Floor 13-19 - 11 ft, 6 in
Floor 7-12 - 11 ft, 6 in
Floor G - 17 ft, 4 in
Floor 3-6 - 11 ft, 5 in",Not including Ground Floor and Roof,Water Cooling,"Close to Kwun Tong MTR Station, Ferry Pier and Bus",夏利文物業管理有限公司,,,,
Yau Tong Ind City A,17 Ko Fai Road,https://www.midlandici.com.hk/ics/property/building/details/B000025278/Yau-Tong-Ind-City-A?lang=english,Industrial,1989,Spin-Off,14,1,5,,,,"@1.54
            (Information: Year 2021)","Floor 14 - 11 ft, 0 in
Floor 4-13 - 10 ft, 0 in
Floor G - 13 ft, 7 in
Floor 1-3 - 10 ft, 0 in",Not including Basement and Ground Floor,Independent,"Close to Yau Tin MTR Station, Bus and Minibus",,,,,
Yau Tong Ind City B,17 Ko Fai Road,https://www.midlandici.com.hk/ics/property/building/details/B000059809/Yau-Tong-Ind-City-B?lang=english,Industrial,1989,Spin-Off,14,1,5,,,,"@1.54
            (Information: Year 2020)","G/F: 13ft 7in
1/F-3/F: 10ft
4/F-13/F: 10ft
14/F: 11ft",Not including Basement and Ground Floor,Independent,"Close to Yau Tong MTR Station, Bus and Minibus",,,,,
88 Kwai Cheong Rd,88 Kwai Cheong Road,https://www.midlandici.com.hk/ics/property/building/details/B000059875/88-Kwai-Cheong-Rd?lang=english,Industrial,1994,Spin-Off,17,1,2,,,,"@2
            (Information: Year 2021)","10'-7""","Not including Ground Floor 
            
              * 4/F & 14/F Omitted",Independent,"Close to Kwai Hing MTR Station, Bus and Minibus",,,,,
Amiata Industrial Building,58-64 Lei Muk Road,https://www.midlandici.com.hk/ics/property/building/details/B000018089/Amiata-Industrial-Building?lang=english,Industrial,1982,Spin-Off,34,2,3,,,,"@0.5
            (Information: Year 2020)",,"Not including Ground Floor *
            
               #Refuge at Between 16th Floor & 17th Floor",,Close to Bus and Minibus,,,,,
Cargo Consolidation Complex,43 Container Port Road,https://www.midlandici.com.hk/ics/property/building/details/B000061958/Cargo-Consolidation-Complex?lang=english,Godown,1981,Unified,15,,,,,,"@1
            (Information: Year 2020)","Ground Floor to 1st Floor: 25ft 10in
2nd Floor to 15th Floor: 15ft 10in",Not including Ground Floor,,,,,,,
Che Wah Ind Bldg,1-7 Kin Hong Street,https://www.midlandici.com.hk/ics/property/building/details/B000018409/Che-Wah-Ind-Bldg?lang=english,Industrial,1978,Spin-Off,26,,,,,,"@0.7
            (Information: Year 2021)",,Not including Ground Floor,,,,,,,
Ching Cheong Ind Bldg,1-7 Kwai Cheong Road,https://www.midlandici.com.hk/ics/property/building/details/B000018635/Ching-Cheong-Ind-Bldg?lang=english,Industrial,1972,Spin-Off,13,1,2,,,,"@0.58
            (Information: Year 2021)",,Not including Ground Floor,,Close to Kwai Hing MTR Station and Kwai Fong MTR Station,金龍行物業管理公司,,,,
Ching Hing Ind Bldg,19-25 Fu Uk Road,https://www.midlandici.com.hk/ics/property/building/details/B000018639/Ching-Hing-Ind-Bldg?lang=english,Industrial,1974,Spin-Off,11,,,,,,"@0.8
            (Information: Year 2021)","Basement: 14ft
Ground Floor: 18ft 
1st Floor to 10th Floor: 11ft",Not including Basement and  Ground Floor,,,,,,,
Chuan Kei Fty Bldg,15-23 Kin Hong Street,https://www.midlandici.com.hk/ics/property/building/details/B000018708/Chuan-Kei-Fty-Bldg?lang=english,Industrial,1976,Spin-Off,14,,,,,,,,Not including Ground Floor and Roof,,,,,,,
Effort Ind Bldg,2-8 Kung Yip Street,https://www.midlandici.com.hk/ics/property/building/details/B000019005/Effort-Ind-Bldg?lang=english,Industrial,1977,Spin-Off,12,,,,,,"@1.3
            (Information: Year 2021)",,Not including Ground Floor and Roof,Independent,"Close to Kwai Hing MTR Station, Bus and Minibus",,,,,
Favor Ind Ctr,2-6 Kin Hong Street,https://www.midlandici.com.hk/ics/property/building/details/B000019108/Favor-Ind-Ctr?lang=english,Industrial,1987,Spin-Off,17,1,4,,,,"@1.2
            (Information: Year 2022)","Floor 12-17 - 10 ft, 10 in
Floor 6-11 - 10 ft, 10 in
Floor 3-4 - 10 ft, 10 in
Floor 5 - 10 ft, 10 in
Floor G - 18 ft, 0 in",Not including Ground Floor,Independent,"Close to MTR Station, Bus and Minibus",,,,,
Fook Yip Bldg,53-57 Kwai Fung Crescent,https://www.midlandici.com.hk/ics/property/building/details/B000007119/Fook-Yip-Bldg?lang=english,Industrial,1986,Spin-Off,28,4,4,,,,"@0.9
            (Information: Year 2022)","Floor 9-18 - 10 ft, 4 in
Floor 3-8 - 10 ft, 4 in",Not including Ground Floor,,"Close to Kwai Fong MTR Station, Bus and Minibus",漢興企業管理有限公司,,,,
Global Trade Ctr,15 Wing Kin Road,https://www.midlandici.com.hk/ics/property/building/details/B000019425/Global-Trade-Ctr?lang=english,Industrial,1993,Spin-Off,23,1,4,,,,"@1.3
            (Information: Year 2022)","Floor 17-26 - 10 ft, 8 in
Floor 8-16 - 10 ft, 8 in
Floor 3-7 - 10 ft, 8 in
Floor 2 - 13 ft, 0 in
Floor 1 - 12 ft, 6 in
Floor G - 16 ft, 4 in
Floor B - 17 ft, 0 in","Not including Ground Floor 
            
              *   4/F, 14/F and 24/F Omitted",,,,,,,
Gold King Ind Bldg,35-41 Tai Lin Pai Road,https://www.midlandici.com.hk/ics/property/building/details/B000019441/Gold-King-Ind-Bldg?lang=english,Industrial,1986,Spin-Off,26,2,4,,,,"@1
            (Information: Year 2021)",,Not including Ground Floor,Independent,"Close to Kwai Hing MTR Station, Kwai Fong MTR Station, Bus and Minibus",新昌管理服務有限公司,,,,
Gold Way Ind Ctr (a),16-20 Wing Kin Road,https://www.midlandici.com.hk/ics/property/building/details/B000019449/Gold-Way-Ind-Ctr--a-?lang=english,Industrial,1984,Spin-Off,16,,,,,,"@0.99
            (Information: Year 2023)","G/F: 15ft 5in
2/F-16/F: 11ft",Not including Ground Floor,,,,,,,
Gold Way Ind Ctr (b),16-20 Wing Kin Road,https://www.midlandici.com.hk/ics/property/building/details/B000059562/Gold-Way-Ind-Ctr--b-?lang=english,Industrial,1984,Spin-Off,16,,,,,,"@0.99
            (Information: Year 2020)","Floor 11-16 - 11 ft, 0 in
Floor 5-10 - 11 ft, 0 in
Floor 3-4 - 11 ft, 0 in
Floor G - 15 ft, 5 in
Floor 1-2 - 11 ft, 0 in",Not including Ground Floor,,,,,,,
